# Fri Feb 19 21:47:58 +0900 2010
E468,☆彡
E469,E643
E46A,E66D
E46B,E733
E46C,E6FA
E46D,[観覧車]
E46E,[777]
E46F,[オメデトウ]
E470,[クジラ]
E471,E6F0
E472,E6F1
E473,E72D
E474,E72B
E475,E701
E476,E6FB
E477,E6EE
E478,E6EF
E479,E6F8
E47A,E6FE
E47B,[炎]
E47C,E71C
E47D,E67F
E47E,E680
E47F,E69B
E480,[若葉マーク]
E481,E737
E482,E702
E483,[？]
E484,E72F
E485,E641
E486,E69F
E487,E642
E488,E63E
E489,E69E
E48A,[雪結晶]
E48B,[☆]
E48C,E640
E48D,E63F
E48E,E63E+E63F
E48F,E646
E490,E647
E491,E648
E492,E649
E493,E64A
E494,E64B
E495,E64C
E496,E64D
E497,E64E
E498,E64F
E499,E650
E49A,E651
E49B,[蛇使座]
E49C,E682
E49D,E683
E49E,E67E
E49F,E683
E4A0,E730
E4A1,E719
E4A2,[三角定規]
E4A3,E668
E4A4,E66A
E4A5,E66E
E4A6,E66C
E4A7,[バス停]
E4A8,[アンテナ]
E4A9,E661
E4AA,E667
E4AB,E663
E4AC,E66F
E4AD,E664
E4AE,E71D
E4AF,E660
E4B0,E65D
E4B1,E65E
E4B2,[トラック]
E4B3,E662
E4B4,E6A3
E4B5,E65B
E4B6,E656
E4B7,E655
E4B8,E712
E4B9,E659
E4BA,E653
E4BB,[フットボール]
E4BC,E6F7
E4BD,E74B
E4BE,E6AC
E4BF,E6B3
E4C0,[東京タワー]
E4C1,E756
E4C2,E671
E4C3,E672
E4C4,[肉]
E4C5,[的中]
E4C6,E68B
E4C7,E715
E4C8,[サイコロ]
E4C9,E6A4
E4CA,E748
E4CB,[お化け]
E4CC,[日の丸]
E4CD,[スイカ]
E4CE,E747
E4CF,E685
E4D0,E74A
E4D1,[フライパン]
E4D2,E742
E4D3,E751
E4D4,[イチゴ]
E4D5,E749
E4D6,E673
E4D7,[ウサギ]
E4D8,E754
E4D9,[サル]
E4DA,[カエル]
E4DB,E6A2
E4DC,E750
E4DD,[アリ]
E4DE,E755
E4DF,E6A1
E4E0,E74F
E4E1,E6A1
E4E2,[ヤシ]
E4E3,[ひまわり]
E4E4,E743
E4E5,E6FC
E4E6,E707
E4E7,E728
E4E8,[SOS]
E4E9,[力こぶ]
E4EA,E6EC
E4EB,E6F9
E4EC,[宇宙人]
E4ED,E643
E4EE,E698
E4EF,[アクマ]
E4F0,[花丸]
E4F1,E734
E4F2,[100点]
E4F3,E6FD
E4F4,E708
E4F5,[ウンチ]
E4F6,[人差し指]
E4F7,[得]
E4F8,[ドクロ]
E4F9,E727
E4FA,E6F0
E4FB,E6F0
E4FC,E6F0
E4FD,[フキダシ]
E4FE,E69A
E4FF,[←]
E500,[→]
E501,[家族]
E502,E68A
E503,E676
E504,E70F
E505,E6FF
E506,[ギター]
E507,[バイオリン]
E508,E67A
