# Thu Aug 05 14:39:31 +0900 2010
E63E,E04A
E63F,E049
E640,E04B
E641,E048
E642,E13D
E643,E443
E644,[霧]
E645,E43C
E646,E23F
E647,E240
E648,E241
E649,E242
E64A,E243
E64B,E244
E64C,E245
E64D,E246
E64E,E247
E64F,E248
E650,E249
E651,E24A
E653,E016
E654,E014
E655,E015
E656,E018
E657,E013
E658,E42A
E659,E132
E65A,[ポケベル]
E65B,E01E
E65C,E434
E65D,E435
E65E,E01B
E65F,E42E
E660,E159
E661,E202
E662,E01D
E663,E036
E664,E038
E665,E153
E666,E155
E667,E14D
E668,E154
E669,E158
E66A,E156
E66B,E03A
E66C,E14F
E66D,E14E
E66E,E151
E66F,E043
E670,E045
E671,E044
E672,E047
E673,E120
E674,E13E
E675,E313
E676,E03C
E677,E03D
E678,E236
E67A,E30A
E67B,E502
E67C,E503
E67D,[イベント]
E67E,E125
E67F,E30E
E680,E208
E681,E008
E682,E323
E683,E148
E684,E314
E685,E112
E686,E34B
E687,E009
E688,E00A
E689,E301
E68A,E12A
E68B,[ゲーム]
E68C,E126
E68D,E20C
E68E,E20E
E68F,E20D
E690,E20F
E691,E419
E692,E41B
E693,E010
E694,E011
E695,E012
E696,E238
E697,E237
E698,E536
E699,E007
E69A,[メガネ]
E69B,E20A
E69C,●
E69D,E04C
E69E,E04C
E69F,E04C
E6A0,○
E6A1,E052
E6A2,E04F
E6A3,E01C
E6A4,E033
E6A5,E239
E6A6,[ぴ]
E6A7,[あ]
E6A8,[チケット]
E6A9,[チケット]
E6AA,[電話先行]
E6AB,[Pコード]
E6AC,E324
E6AD,[ふくろ]
E6AE,[ペン]
E6AF,E03D
E6B0,[ぴ]
E6B2,E11F
E6B3,E44B
E6B4,(ぴ)
E6B5,[ぴ]
E6B6,[チェック]
E6B7,[SOON]
E6B8,[ON]
E6B9,[end]
E6BA,E02D
E6BB,[F]
E6BC,[D]
E6BD,[S]
E6BE,[C]
E6BF,[R]
E6C0,■
E6C1,■
E6C2,▼
E6C3,††††
E6C4,†††
E6C5,††
E6C6,†
E6C7,[I]
E6C8,[M]
E6C9,[E]
E6CA,[VE]
E6CB,●
E6CC,[カード使用不可]
E6CD,[チェックボックス]
E6CE,E104
E6CF,E103
E6D0,E00B
E6D1,[iモード]
E6D2,[iモード]
E6D3,E103
E6D4,[ドコモ]
E6D5,[ドコモポイント]
E6D6,￥
E6D7,[FREE]
E6D8,E229
E6D9,E03F
E6DA,←┘
E6DB,[CL]
E6DC,E114
E6DD,E212
E6DE,[旗]
E6DF,E211
E6E0,E210
E6E1,[Q]
E6E2,E21C
E6E3,E21D
E6E4,E21E
E6E5,E21F
E6E6,E220
E6E7,E221
E6E8,E222
E6E9,E223
E6EA,E224
E6EB,E225
E6EC,E022
E6ED,E327
E6EE,E023
E6EF,E327
E6F0,E057
E6F1,E059
E6F2,E058
E6F3,E407
E6F4,E406
E6F5,E236
E6F6,E03E
E6F7,E123
E6F9,E003
E6FA,E32E
E6FB,E10F
E6FC,E334
E6FD,E00D
E6FE,E311
E6FF,E326
E700,E238
E701,E13C
E702,E021
E703,！？
E704,！！
E705,[ドンッ]
E706,E331
E707,E331
E708,E330
E70A,～
E70B,E24D
E70C,[iアプリ]
E70D,[iアプリ]
E70E,E006
E70F,[財布]
E710,E31C
E711,[ジーンズ]
E712,[スノボ]
E713,E325
E714,[ドア]
E715,E12F
E716,E00C
E717,E103+E328
E718,[レンチ]
E719,E301
E71A,E10E
E71B,E034
E71C,[砂時計]
E71D,E136
E71E,E338
E71F,[腕時計]
E720,E403
E721,E40A
E722,E415+E331
E723,E108
E724,E416
E725,E40E
E726,E106
E727,E00E
E728,E105
E729,E405
E72A,E40A
E72B,E406
E72C,E402
E72D,E411
E72E,E413
E72F,[NG]
E730,[クリップ]
E731,E24E
E732,E537
E733,E115
E734,E315
E735,↑↓
E736,E24F
E737,E252
E738,[禁]
E739,E22B
E73A,[合]
E73B,E22A
E73C,⇔
E73D,↑↓
E73E,E157
E73F,E43E
E740,E03B
E741,E110
E742,[さくらんぼ]
E743,E304
E744,[バナナ]
E745,E345
E746,E110
E747,E118
E748,E030
E749,E342
E74A,E046
E74B,E30B
E74C,E340
E74D,E339
E74E,[カタツムリ]
E74F,E523
E750,E055
E751,E019
E752,E056
E753,E404
E754,E01A
E755,E10B
E756,E044
E757,E107
